id_cadeia;nucleo;qtd_municipios;qtd_sedes;tem_sede;utp_dominante;coesao_utp_perc;utps_envolvidas;diagnostico_geral
NUCLEO_285;Itanhandu, Pouso Alto;8;1;Sim;271;62.5;271, 313;Cadeia Mista (Dominante: UTP 271)
NUCLEO_286;Iturama, Ouroeste;8;0;Não;108;75.0;108, 175;Cadeia Mista (Dominante: UTP 108)
NUCLEO_287;Janaúba, Porteirinha;6;1;Sim;176;100.0;176;Cadeia Coesa (100% interna)
NUCLEO_288;Januária, Pedras de Maria da Cruz;3;1;Sim;552;100.0;552;Cadeia Coesa (100% interna)
NUCLEO_289;Jesuânia, Lambari;4;0;Não;358;50.0;270, 358, 83;Cadeia Mista (Dominante: UTP 358)
NUCLEO_29;Garrafão do Norte, Nova Esperança do Piriá;2;0;Não;52;100.0;52;Cadeia Coesa (100% interna)
NUCLEO_290;João Monlevade, Rio Piracicaba;5;1;Sim;184;100.0;184;Cadeia Coesa (100% interna)
NUCLEO_291;Juiz de Fora, Matias Barbosa;31;2;Sim;189;71.0;189, 35;Cadeia Mista (Dominante: UTP 189)
NUCLEO_292;Lagoa da Prata, Santo Antônio do Monte;6;0;Não;227;50.0;102, 227, 401;Cadeia Crítica (Núcleo Cross-UTP: 401, 102)
NUCLEO_293;Lagoa Formosa, Patos de Minas;12;1;Sim;243;75.0;243, 29, 352;Cadeia Mista (Dominante: UTP 243)
NUCLEO_294;Lajinha, Ibatiba;5;0;Não;214;80.0;214, 58;Cadeia Mista (Dominante: UTP 214)
NUCLEO_295;Lamim, Rio Espera;3;0;Não;94;100.0;94;Cadeia Coesa (100% interna)
NUCLEO_296;Machado, Paraguaçu;7;0;Não;270;57.1;262, 270, 358;Cadeia Crítica (Núcleo Cross-UTP: 262, 358)
NUCLEO_297;Manga, Matias Cardoso;2;0;Não;591;50.0;176, 591;Cadeia Crítica (Núcleo Cross-UTP: 591, 176)
NUCLEO_298;Manhuaçu, Reduto;11;1;Sim;214;100.0;214;Cadeia Coesa (100% interna)
NUCLEO_299;Mariana, Ouro Preto;4;1;Sim;94;100.0;94;Cadeia Coesa (100% interna)
NUCLEO_3;Ji-Paraná, Presidente Médici;7;1;Sim;182;85.7;182, 670;Cadeia Mista (Dominante: UTP 182)
